MagpieData avg_dev Column,MagpieData minimum MeltingT,MagpieData avg_dev NdValence,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean NUnfilled,MagpieData mean SpaceGroupNumber,MagpieData minimum NUnfilled,MagpieData avg_dev GSmagmom,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mean Number,MagpieData minimum NValence,MagpieData mode NValence,V0
1.1910597000294088,1071.0,1.3593438551775971,0.37251249877463,52.0,47.98679867986798,6.405940594059406,212.15181518151817,5.0,0.0001454073568275,1.3593438551775971,12.340838044200453,2180.0,1829.7953795379533,25.27722772277228,4.0,7.0,278
2.526742959175392,923.0,2.526742959175391,0.0,68.0,53.63513513513514,3.326576576576577,218.01801801801804,0.0,0.207791348916484,2.02321240159078,10.81892703514324,1728.0,1606.186936936937,32.33558558558559,2.0,10.0,373
3.295847750865052,923.0,3.295847750865052,0.0,68.0,63.47058823529412,0.9852941176470588,203.1176470588236,0.0,0.2472227128027682,1.3040657439446366,12.871972318339102,1799.0,1198.4117647058824,17.897058823529413,2.0,2.0,593
2.5234567901234564,923.0,2.523456790123457,0.0,68.0,54.0,2.955555555555556,218.11111111111111,0.0,0.2058154518518519,1.880493827160494,10.716049382716047,1728.0,1591.111111111111,31.444444444444443,2.0,10.0,298
1.9983975869544723,1357.77,2.003534734659251,0.0096616080686212,64.0,47.19417475728155,6.194174757281553,209.878640776699,1.0,1.026561391532672,2.003534734659251,16.80361014233198,1941.0,1857.2076213592231,24.59223300970873,3.0,4.0,283
2.194328922495274,1519.0,2.194328922495274,0.0,61.0,48.76521739130435,5.930434782608695,209.17391304347825,2.0,0.7734039562636071,2.1943289224952736,15.833648393194704,2128.0,1848.269565217392,25.165217391304346,3.0,4.0,363
1.1749318440193814,1071.0,1.3421485414068277,0.3741680555402259,52.0,48.20598006644519,6.3023255813953485,212.27242524916943,5.0,0.0001456346362419,1.3421485414068282,12.262557808412703,2180.0,1834.8372093023256,25.059800664451828,4.0,7.0,308
3.4,923.0,3.504444444444444,0.0,73.0,54.55,2.9333333333333336,214.66666666666663,0.0,0.2765277606666667,2.077777777777778,13.77777777777778,1799.0,1488.282333333333,29.366666666666664,2.0,10.0,353
1.08,923.0,0.095,0.0,73.0,65.45,0.7,195.55,0.0,0.0,0.855,2.94500000000001,1799.0,967.3235,13.4,2.0,2.0,633
2.0,1193.0,2.0,0.0,61.0,52.5,3.333333333333333,220.16666666666663,2.0,0.2480380347222222,2.0000000000000004,8.722222222222229,1811.0,1645.75,32.666666666666664,3.0,10.0,363
2.085116410594779,1357.77,2.127957394664908,0.0835611273447073,64.0,49.21359223300972,5.883495145631069,211.0825242718447,1.0,1.026561391532672,2.127957394664908,16.750824771420493,1941.0,1840.0724757281555,24.20388349514564,3.0,4.0,283
0.18,923.0,0.095,0.0,68.0,63.1,1.5,192.6,0.0,0.0,0.855,2.660000000000005,1345.0,951.5,16.8,2.0,2.0,633
1.0528,923.0,0.0197999999999999,0.0,73.0,67.69,0.34,195.55,0.0,0.0,0.1782,2.94500000000001,1799.0,932.2835,12.32,2.0,2.0,633
1.972222222222222,1071.0,1.972222222222223,0.0,61.0,52.71666666666667,4.033333333333333,218.28333333333333,0.0,0.1918617638888889,1.6216666666666664,10.522777777777778,1768.0,1629.4,31.6,2.0,10.0,293
2.526742959175392,923.0,2.526742959175391,0.0,68.0,53.63513513513514,3.326576576576577,218.01801801801804,0.0,0.207791348916484,2.02321240159078,10.81892703514324,1728.0,1606.186936936937,32.33558558558559,2.0,10.0,333
1.904761904761905,1519.0,1.9047619047619049,0.0,55.0,48.14761904761905,6.199999999999999,209.52380952380952,4.0,0.995474269700524,1.904761904761905,16.263038548752835,2128.0,1852.6047619047624,24.228571428571428,3.0,4.0,393
