MagpieData avg_dev NdUnfilled,MagpieData mean NUnfilled,MagpieData mode AtomicWeight,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData mean GSvolume_pa,MagpieData mean Electronegativity,MagpieData mode NUnfilled,MagpieData mean Row,MagpieData mode MeltingT,MagpieData mode MendeleevNumber,V0,MagpieData mode NdValence
1.3040657439446366,0.9852941176470588,24.305,63.47058823529412,1198.4117647058824,19.610955882352943,1.4825,0.0,3.3823529411764706,923.0,68.0,573,0.0
1.105,0.65,24.305,64.5,1047.3,22.10675,1.3655000000000002,0.0,3.2,923.0,68.0,573,0.0
2.066957168668296,3.329896907216494,58.6934,53.29278350515464,1605.0619587628864,15.385726804123708,1.744453608247423,2.0,4.261855670103093,1728.0,61.0,338,8.0
1.5024852071005914,3.9538461538461536,58.6934,53.12307692307692,1640.0615384615385,14.450500000000002,1.779230769230769,2.0,4.246153846153846,1728.0,61.0,293,8.0
2.077777777777778,2.9333333333333336,58.6934,54.55,1488.282333333333,16.974375000000002,1.6669999999999998,2.0,4.116666666666667,1728.0,61.0,373,8.0
0.8959487534626039,2.171052631578948,58.6934,54.8108552631579,1599.5065789473683,14.726122532894738,1.7516118421052629,2.0,4.027960526315789,1728.0,61.0,338,8.0
0.99,0.55,24.305,64.85,1007.05,22.73525,1.3355,0.0,3.15,923.0,68.0,633,0.0
0.5568,0.29,24.305,66.28,939.15,23.184525000000004,1.3097,0.0,3.1,923.0,68.0,593,0.0
1.502821822090836,6.334426229508197,51.9961,48.1344262295082,1951.55737704918,13.125992085924592,1.6371803278688524,6.0,4.019672131147541,2180.0,49.0,253,5.0
1.502821822090836,6.334426229508197,51.9961,48.1344262295082,1951.55737704918,13.125992085924592,1.6371803278688524,6.0,4.019672131147541,2180.0,49.0,263,5.0
1.7945283950617283,2.897777777777778,58.6934,54.42222222222223,1589.6,15.1661,1.7452,2.0,4.217777777777777,1728.0,61.0,298,8.0
1.9444444444444444,3.1666666666666665,58.6934,53.05555555555556,1598.5555555555557,15.439583333333337,1.7383333333333333,2.0,4.277777777777778,1728.0,61.0,298,8.0
1.9444444444444444,3.1666666666666665,58.6934,53.0,1638.8333333333333,14.749583333333334,1.7749999999999997,2.0,4.333333333333333,1728.0,61.0,343,8.0
2.003534734659251,6.194174757281553,47.867,47.19417475728155,1857.2076213592231,14.558305155674756,1.6493203883495149,8.0,4.043689320388349,1941.0,43.0,293,2.0
0.5568,0.29,24.305,66.28,939.15,23.184525000000004,1.3097,0.0,3.1,923.0,68.0,573,0.0
1.914681440443213,3.296842105263158,58.6934,53.01052631578947,1599.4864210526314,15.538352631578949,1.7400421052631578,2.0,4.286315789473684,1728.0,61.0,298,8.0
3.4,6.25,138.90547,36.8,1458.4,23.618375,1.5029999999999997,9.0,5.0,1193.0,13.0,343,1.0
1.76,1.49,24.305,61.86,1026.84,23.044025,1.3496,0.0,3.4,923.0,68.0,613,0.0
2.202646502835538,5.939130434782608,47.867,48.49565217391304,1847.034782608696,14.456746626686956,1.647304347826087,8.0,4.069565217391304,1941.0,43.0,323,2.0
2.210964083175803,5.947826086956522,47.867,48.22608695652173,1845.8,14.593050974513044,1.6445217391304343,8.0,4.078260869565217,1941.0,43.0,343,2.0
1.484375,1.1874999999999998,24.305,62.3125,1229.3125,19.5540625,1.4918749999999998,0.0,3.4375,923.0,68.0,613,0.0
2.2,5.8,47.867,49.6,1867.7,13.669,1.6930000000000005,8.0,4.0,1941.0,43.0,333,2.0
2.014444444444444,3.5916666666666663,58.6934,54.35,1541.5170833333332,15.515833333333331,1.736,2.0,4.208333333333333,1728.0,61.0,483,8.0
2.077777777777778,2.9333333333333336,58.6934,54.51666666666667,1508.4823333333331,16.82329166666667,1.671,2.0,4.083333333333333,1728.0,61.0,313,8.0
1.502821822090836,6.20655737704918,51.9961,48.114754098360656,1952.75737704918,13.122623233465577,1.636983606557377,6.0,4.019672131147541,2180.0,49.0,263,5.0
0.9006298429956594,2.154458598726115,58.6934,55.0063694267516,1593.3980891719746,14.772868232484075,1.7473805732484078,2.0,4.012738853503185,1728.0,61.0,298,8.0
0.9006298429956594,2.154458598726115,58.6934,55.0063694267516,1593.3980891719746,14.772868232484075,1.7473805732484078,2.0,4.012738853503185,1728.0,61.0,278,8.0
1.3333333333333333,6.25,54.938045,48.31666666666666,1837.3833333333328,13.164327586208335,1.5601666666666667,5.0,4.066666666666666,1519.0,52.0,288,5.0
2.003534734659251,6.194174757281553,47.867,47.19417475728155,1857.2076213592231,14.558305155674756,1.6493203883495149,8.0,4.043689320388349,1941.0,43.0,283,2.0
1.568888888888889,4.2,58.6934,52.21666666666667,1636.0666666666666,14.788458333333333,1.7658333333333331,2.0,4.266666666666667,1728.0,61.0,363,8.0
1.36,6.22,54.938045,47.91333333333333,1813.96,13.87637356322,1.534266666666667,5.0,4.153333333333333,1519.0,52.0,298,5.0
1.7026969766634654,3.165605095541401,58.6934,53.86199575371549,1585.3801486199573,15.42032908704883,1.7402760084925686,2.0,4.261146496815285,1728.0,61.0,338,8.0
2.066957168668296,3.391752577319588,58.6934,53.169072164948446,1599.752680412371,15.439231958762884,1.7436288659793813,2.0,4.261855670103093,1728.0,61.0,318,8.0
2.066957168668296,3.391752577319588,58.6934,53.169072164948446,1599.752680412371,15.439231958762884,1.7436288659793813,2.0,4.261855670103093,1728.0,61.0,338,8.0
0.8959487534626039,2.171052631578948,58.6934,54.8108552631579,1599.5065789473683,14.726122532894738,1.7516118421052629,2.0,4.027960526315789,1728.0,61.0,278,8.0
0.855,1.5,24.305,63.1,951.5,24.1245,1.2935,0.0,3.3,923.0,68.0,613,0.0
0.8826429980276136,2.1153846153846154,58.6934,54.38461538461539,1582.076923076923,15.205192307692307,1.7357692307692307,2.0,4.025641025641026,1728.0,61.0,338,8.0
2.077777777777778,2.9333333333333336,58.6934,54.56666666666666,1478.1823333333332,17.049916666666668,1.6649999999999998,2.0,4.133333333333334,1728.0,61.0,313,8.0
2.045138888888889,3.2916666666666665,58.6934,52.625,1630.125,14.756566091954168,1.7599999999999998,2.0,4.333333333333333,1728.0,61.0,383,8.0
0.5568,0.29,24.305,66.28,939.15,23.184525000000004,1.3097,0.0,3.1,923.0,68.0,613,0.0
1.3333333333333333,6.25,54.938045,48.31666666666666,1837.3833333333328,13.164327586208335,1.5601666666666667,5.0,4.066666666666666,1519.0,52.0,298,5.0
2.066957168668296,3.2577319587628866,58.6934,53.14845360824742,1601.0104123711335,15.435701030927834,1.7434226804123711,2.0,4.261855670103093,1728.0,61.0,338,8.0
1.338666666666667,6.204000000000001,54.938045,48.409333333333336,1816.232,13.62557356322,1.5393866666666665,5.0,4.137333333333333,1519.0,52.0,348,5.0
1.4999838753023385,6.147540983606557,51.9961,48.31147540983608,1958.206557377049,13.061992085924269,1.6382622950819672,6.0,4.019672131147541,2180.0,49.0,253,5.0
0.6912,0.61,24.305,66.01,958.5635,22.948500000000003,1.3214,0.0,3.08,923.0,68.0,613,0.0
1.367728531855955,6.457236842105263,54.938045,47.878289473684205,1827.2993421052631,13.4811127495477,1.5543750000000005,5.0,4.092105263157895,1519.0,52.0,288,5.0
0.9006298429956594,2.154458598726115,58.6934,55.0063694267516,1593.3980891719746,14.772868232484075,1.7473805732484078,2.0,4.012738853503185,1728.0,61.0,338,8.0
3.4,6.12,138.90547,36.78,1459.62,23.61495,1.5028,9.0,5.0,1193.0,13.0,313,1.0
3.4,5.6,138.90547,36.68,1476.62,23.510600000000004,1.5044,9.0,4.98,1193.0,13.0,343,1.0
1.784651851851852,2.942222222222222,58.6934,54.2888888888889,1591.3777777777775,15.162766666666666,1.743866666666667,2.0,4.217777777777778,1728.0,61.0,348,8.0
0.8944161284160346,2.1564059900166392,58.6934,54.76871880199668,1594.7579034941762,14.838797836938436,1.7476705490848583,2.0,4.025790349417638,1728.0,61.0,278,8.0
2.014444444444444,3.5916666666666663,58.6934,54.35,1541.5170833333332,15.515833333333331,1.736,2.0,4.208333333333333,1728.0,61.0,443,8.0
2.184027777777778,3.5416666666666665,58.6934,51.875,1612.7083333333333,14.770531609195832,1.7299999999999998,2.0,4.333333333333333,1728.0,61.0,383,8.0
1.9958024691358025,3.655555555555555,58.6934,50.81111111111112,1688.8882222222223,15.419030651341112,1.7346666666666666,2.0,4.266666666666668,1728.0,61.0,300,8.0
2.4876543209876543,4.188888888888889,58.6934,51.07777777777778,1704.954888888889,15.340363984674443,1.7366666666666666,2.0,4.266666666666668,1728.0,61.0,300,8.0
1.7027348394768138,3.057471264367817,58.6934,53.73563218390806,1607.2183908045977,15.126781609195405,1.7529885057471266,2.0,4.275862068965518,1728.0,61.0,333,8.0
2.127957394664908,5.883495145631069,47.867,49.21359223300972,1840.0724757281555,13.731314864412624,1.6757281553398062,8.0,4.00485436893204,1941.0,43.0,303,2.0
0.0395999999999999,0.26,24.305,66.58,943.71,23.074500000000004,1.3118,0.0,3.1,923.0,68.0,633,0.0
1.9722222222222223,3.2916666666666665,58.6934,53.5,1605.7279166666667,15.00625,1.7625,2.0,4.291666666666667,1728.0,61.0,383,8.0
2.360460069444444,3.6875,58.6934,50.60069444444444,1692.90625,15.236270055076735,1.746875,2.0,4.277777777777778,1728.0,61.0,298,8.0
0.855,1.5,24.305,63.1,951.5,24.1245,1.2935,0.0,3.3,923.0,68.0,633,0.0
2.02321240159078,3.326576576576577,58.6934,53.63513513513514,1606.186936936937,15.384994369369368,1.7422972972972974,2.0,4.288288288288289,1728.0,61.0,373,8.0
1.914681440443213,3.296842105263158,58.6934,53.01052631578947,1599.4864210526314,15.538352631578949,1.7400421052631578,2.0,4.286315789473684,1728.0,61.0,348,8.0
2.0,3.0,58.6934,53.520833333333336,1609.625,15.513802083333331,1.7325,2.0,4.1875,1728.0,61.0,293,8.0
2.360460069444444,4.229166666666667,58.6934,50.68402777777778,1687.8229166666667,15.25054088841007,1.7477083333333334,2.0,4.277777777777778,1728.0,61.0,298,8.0
2.0000000000000004,3.333333333333333,58.6934,52.5,1645.75,14.78375,1.768333333333333,2.0,4.333333333333333,1728.0,61.0,363,8.0
2.066957168668296,3.2577319587628866,58.6934,53.14845360824742,1601.0104123711335,15.435701030927834,1.7434226804123711,2.0,4.261855670103093,1728.0,61.0,348,8.0
1.784651851851852,2.942222222222222,58.6934,54.2888888888889,1591.3777777777775,15.162766666666666,1.743866666666667,2.0,4.217777777777778,1728.0,61.0,278,8.0
2.2,5.8,47.867,49.6,1867.7,13.669,1.6930000000000005,8.0,4.0,1941.0,43.0,313,2.0
2.0,3.0,58.6934,53.54166666666666,1597.0,15.608229166666666,1.7299999999999998,2.0,4.208333333333333,1728.0,61.0,293,8.0
3.4,5.6,138.90547,36.69,1470.56,23.555925,1.5032,9.0,4.99,1193.0,13.0,328,1.0
0.0,0.25,24.305,68.25,923.5235,22.5695,1.325,0.0,3.0,923.0,68.0,613,0.0
2.077777777777778,2.9333333333333336,58.6934,54.5,1518.582333333333,16.747750000000003,1.673,2.0,4.066666666666666,1728.0,61.0,313,8.0
0.0395999999999999,0.26,24.305,66.58,943.71,23.074500000000004,1.3118,0.0,3.1,923.0,68.0,613,0.0
2.0000000000000004,3.333333333333333,58.6934,52.5,1645.75,14.78375,1.768333333333333,2.0,4.333333333333333,1728.0,61.0,383,8.0
1.3508179465812902,6.35430463576159,54.938045,48.09602649006622,1832.307947019868,13.323769125372516,1.5572516556291391,5.0,4.079470198675496,1519.0,52.0,298,5.0
2.0,3.5,58.6934,52.0,1652.6666666666667,14.817916666666669,1.7616666666666667,2.0,4.333333333333333,1728.0,61.0,383,8.0
3.4,5.6,138.90547,36.69,1470.56,23.555925,1.5032,9.0,4.99,1193.0,13.0,313,1.0
1.3777999999999997,1.07,24.305,62.1,1035.06,22.923725,1.3511000000000002,0.0,3.4,923.0,68.0,593,0.0
1.3593438551775971,6.405940594059406,54.938045,47.98679867986798,1829.7953795379533,13.402700580404291,1.555808580858086,5.0,4.085808580858086,1519.0,52.0,308,5.0
0.0,0.25,24.305,68.25,923.5235,22.5695,1.325,0.0,3.0,923.0,68.0,633,0.0
1.9722222222222223,3.2916666666666665,58.6934,53.5,1605.7279166666667,15.00625,1.7625,2.0,4.291666666666667,1728.0,61.0,363,8.0
0.855,1.5,24.305,63.1,951.5,24.1245,1.2935,0.0,3.3,923.0,68.0,653,0.0
0.99,0.55,24.305,64.85,1007.05,22.73525,1.3355,0.0,3.15,923.0,68.0,573,0.0
1.796503703703704,2.875555555555556,58.6934,54.48888888888889,1588.711111111111,15.167766666666669,1.745866666666667,2.0,4.217777777777778,1728.0,61.0,298,8.0
2.360460069444444,3.822916666666667,58.6934,50.62152777777778,1691.6354166666667,15.23983776341007,1.747083333333333,2.0,4.277777777777778,1728.0,61.0,298,8.0
0.3528,0.43,24.305,67.13,941.0435,22.759,1.3232,0.0,3.04,923.0,68.0,573,0.0
1.1539792387543253,0.8529411764705882,24.305,64.29411764705881,1185.529411764706,19.47161764705882,1.4838235294117648,0.0,3.352941176470588,923.0,68.0,633,0.0
2.0777978531193533,3.278350515463917,58.6934,53.08659793814433,1601.8660824742265,15.439927835051542,1.74259793814433,2.0,4.261855670103092,1728.0,61.0,348,8.0
2.127957394664908,5.883495145631069,47.867,49.21359223300972,1840.0724757281555,13.731314864412624,1.6757281553398062,8.0,4.00485436893204,1941.0,43.0,283,2.0
2.014444444444444,3.5916666666666663,58.6934,54.35,1541.5170833333332,15.515833333333331,1.736,2.0,4.208333333333333,1728.0,61.0,483,8.0
2.360460069444444,4.09375,58.6934,50.66319444444444,1689.09375,15.246973180076736,1.7475,2.0,4.277777777777778,1728.0,61.0,298,8.0
1.338666666666667,6.204000000000001,54.938045,48.409333333333336,1816.232,13.62557356322,1.5393866666666665,5.0,4.137333333333333,1519.0,52.0,298,5.0
2.2150000000000003,5.785,47.867,49.645,1867.055,13.661725,1.69375,8.0,4.0,1941.0,43.0,353,2.0
1.3421485414068282,6.3023255813953485,54.938045,48.20598006644519,1834.8372093023256,13.244313208845517,1.5587043189368772,5.0,4.073089700996678,1519.0,52.0,298,5.0
2.202646502835538,5.939130434782608,47.867,48.49565217391304,1847.034782608696,14.456746626686956,1.647304347826087,8.0,4.069565217391304,1941.0,43.0,363,2.0
1.3777999999999997,1.07,24.305,62.1,1035.06,22.923725,1.3511000000000002,0.0,3.4,923.0,68.0,613,0.0
2.003534734659251,6.194174757281553,47.867,47.19417475728155,1857.2076213592231,14.558305155674756,1.6493203883495149,8.0,4.043689320388349,1941.0,43.0,303,2.0
1.904761904761905,6.199999999999999,47.867,48.14761904761905,1852.6047619047624,14.071032019704765,1.6453809523809526,8.0,4.023809523809524,1941.0,43.0,363,2.0
2.25,5.750000000000001,47.867,49.75,1865.55,13.64475,1.6955,8.0,4.0,1941.0,43.0,333,2.0
1.0186253150497675,2.879084967320261,58.6934,55.17320261437911,1540.5663071895426,16.320555555555558,1.6858169934640526,2.0,4.147058823529412,1728.0,61.0,348,8.0
0.996107266435986,0.7205882352941178,24.305,65.11764705882354,1172.6470588235295,19.33227941176471,1.4851470588235294,0.0,3.323529411764706,923.0,68.0,573,0.0
1.76,1.1,24.305,61.8,1030.5,23.03375,1.349,0.0,3.4,923.0,68.0,633,0.0
0.5568,0.29,24.305,66.28,939.15,23.184525000000004,1.3097,0.0,3.1,923.0,68.0,633,0.0
0.0395999999999999,0.26,24.305,66.58,943.71,23.074500000000004,1.3118,0.0,3.1,923.0,68.0,573,0.0
1.9759804442555,3.2474226804123707,58.6934,53.251546391752576,1602.5774226804122,15.39789175257732,1.7441443298969073,2.0,4.261855670103093,1728.0,61.0,338,8.0
1.7905777777777776,2.92,58.6934,54.355555555555554,1590.4888888888888,15.164433333333337,1.7445333333333333,2.0,4.217777777777778,1728.0,61.0,298,8.0
1.484375,1.1874999999999998,24.305,62.3125,1229.3125,19.5540625,1.4918749999999998,0.0,3.4375,923.0,68.0,593,0.0
1.784651851851852,2.942222222222222,58.6934,54.2888888888889,1591.3777777777775,15.162766666666666,1.743866666666667,2.0,4.217777777777778,1728.0,61.0,298,8.0
1.9444444444444444,3.1666666666666665,58.6934,53.0,1638.8333333333333,14.749583333333334,1.7749999999999997,2.0,4.333333333333333,1728.0,61.0,383,8.0
0.8944161284160346,2.1564059900166392,58.6934,54.76871880199668,1594.7579034941762,14.838797836938436,1.7476705490848583,2.0,4.025790349417638,1728.0,61.0,338,8.0
2.2150000000000003,5.785,47.867,49.645,1867.055,13.661725,1.69375,8.0,4.0,1941.0,43.0,313,2.0
2.014444444444444,3.5916666666666663,58.6934,54.35,1541.5170833333332,15.515833333333331,1.736,2.0,4.208333333333333,1728.0,61.0,443,8.0
1.6606690013283425,2.923076923076924,58.6934,54.36263736263737,1577.142857142857,15.46802197802198,1.7335164835164836,2.0,4.219780219780221,1728.0,61.0,298,8.0
0.9006298429956594,2.154458598726115,58.6934,55.0063694267516,1593.3980891719746,14.772868232484075,1.7473805732484078,2.0,4.012738853503185,1728.0,61.0,318,8.0
1.9444444444444444,3.1666666666666665,58.6934,53.0,1638.8333333333333,14.749583333333334,1.7749999999999997,2.0,4.333333333333333,1728.0,61.0,343,8.0
0.8944161284160346,2.1564059900166392,58.6934,54.76871880199668,1594.7579034941762,14.838797836938436,1.7476705490848583,2.0,4.025790349417638,1728.0,61.0,318,8.0
