MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev MeltingT,MagpieData avg_dev NValence,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum NValence,MagpieData mean Column,MagpieData mean GSvolume_pa,MagpieData mean MeltingT,MagpieData mean MendeleevNumber,MagpieData mode Column,MagpieData mode MendeleevNumber,MagpieData range Electronegativity,V0
2.6996739524212057,21.43074507909673,7.806890472165199,228.77237048665623,2.599686028257456,1.6606690013283425,11.365294046612728,10.0,8.219780219780219,15.46802197802198,1577.142857142857,54.36263736263737,10.0,61.0,0.8099999999999998,298.0
2.448780883605826,22.791476778413347,7.71005161354303,217.4093706753937,2.391081901001168,1.7026969766634654,11.86713006162074,10.0,8.566878980891719,15.42032908704883,1585.3801486199573,53.86199575371549,10.0,61.0,0.8099999999999998,298.0
2.027777777777777,23.138888888888896,7.414375,233.06625,2.625,2.0,8.611111111111105,10.0,9.083333333333334,15.262916666666667,1572.6225000000002,54.0,10.0,61.0,0.8099999999999998,343.0
2.360460069444444,23.29629629629629,7.784917858995806,87.41370081018526,2.312934027777777,2.360460069444444,10.202256944444436,10.0,8.447916666666668,15.243405471743404,1690.3645833333333,50.64236111111111,10.0,61.0,0.8099999999999998,298.0
2.225,14.95,3.033125,74.375,2.225,2.225,17.03625,10.0,6.225,13.656875,1866.625,49.675,4.0,43.0,0.3699999999999999,333.0
3.3044982698961936,7.906574394463669,5.383304498269898,355.1868512110726,3.3044982698961936,1.1539792387543253,12.871972318339092,10.0,4.38235294117647,19.47161764705882,1185.529411764706,64.29411764705881,2.0,68.0,0.69,633.0
2.3987671378467423,23.186693591242417,7.804580192845423,205.1114133276652,2.591348708683175,2.0945902858964813,10.14518014666811,10.0,8.587628865979381,15.43742872378247,1598.8557731958758,53.05567010309278,10.0,61.0,0.8099999999999998,298.0
1.2133333333333336,12.399999999999991,4.02841762452,276.94893333333334,1.2133333333333336,1.346666666666667,11.822222222222225,7.0,5.789999999999999,13.71962356322,1815.38,48.223333333333336,7.0,52.0,0.4399999999999999,298.0
2.068611111111111,23.147222222222208,7.368263888888889,268.1841319444446,2.8631944444444444,2.014444444444444,10.522777777777778,10.0,9.158333333333331,15.515833333333331,1541.5170833333332,54.35,10.0,61.0,0.8099999999999998,483.0
2.4977777777777783,20.85530864197531,7.543933333333334,218.25185185185188,2.4977777777777783,1.7767506172839505,13.287901234567904,10.0,8.28,15.1611,1592.2666666666669,54.22222222222222,10.0,61.0,0.8099999999999998,348.0
