target
1.56
1.305
1.36
1.61
1.6
3.76
1.38
1.94
1.07
1.66
1.28
5.385
1.13
0.915
5.596
1.34
1.23
5.466
1.89
1.344
1.12
6.155
6.61
1.7
1.524
3.47
1.51
1.543
6.924
6.193
1.578
1.68
1.8
1.38
1.42
1.72
1.74
1.644
7.142
1.545
5.297
1.2
1.95
1.85
3.49
7.16
1.67
6.785
1.85
1.56
1.657
1.4
1.526
1.43
1.487
1.655
5.194
7.218
1.54
1.77
3.15
1.23
1.46
1.76
1.46
1.536
1.97
1.61
1.475
3.12
1.07
1.458
1.918
1.52
1.34
1.625
6.01
1.12
1.37
1.597
6.56
1.29
5.1245
1.52
5.98
1.94
1.5
1.06
1.93
1.12
1.663
1.5
1.34
1.697
3.56
1.728
1.01
1.99
1.69
1.46
1.28
1.58
1.66
1.65
1.3
1.29
1.92
1.43
1.77
3.48
1.4
3.17
5.261
1.69
1.922
1.4
1.54
1.712
3.05
1.29
1.68
1.37
1.75
1.18
1.27
1.814
5.49
1.56
0.492
3.6
1.15
7.385
1.48
1.71
1.48
1.59
3.83
1.44
6.75
7.285
1.957
5.446
1.61
1.411
1.978
1.65
6.505
7.266
1.18
1.97
1.58
1.22
1.37
5.074
1.21
1.448
1.84
1.11
1.954
5.477
1.48
6.01
1.78
1.79
1.395
5.508
1.58
5.49
1.955
1.465
1.935
1.63
1.42
1.951
1.295
1.964
1.764
1.16
1.535
7.249
1.23
1.99
7.242
1.36
1.12
1.57
1.63
1.41
1.513
1.77
1.46
7.057
1.69
1.33
1.64
1.803
1.62
3.85
1.41
1.4
1.86
1.89
1.23
3.19
1.59
5.388
1.37
1.715
1.71
6.44
1.58
1.359
1.47
6.5
1.47
1.98
1.31
1.88
1.536
1.954
3.79
1.36
5.012
1.498
1.28
3.09
1.4
6.975
7.528
1.85
1.34
5.95
1.837
1.129
1.73
1.89
1.26
6.828
3.49
1.35
5.515
1.3
1.9
1.751
1.71
1.07
1.389
1.83
1.51
1.57
1.78
1.87
1.46
1.11
7.321
1.76
1.85
1.741
1.556
1.561
1.32
1.8
